"";"ley";"id";"año";"mes";"apellido";"rol";"texto";"discurso"
"1";"21557";3;2023;3;"BENAVENTE";"de pie";"El señor BENAVENTE (de pie).-
Señor Presidente, honorable Cámara, en representación de la Comisión de Constitución, Legislación, Justicia y Reglamento, informo, en primer trámite constitucional y reglamentario, el proyecto de ley que modifica el Código Penal para agravar la pena del delito de secuestro en el caso que indica, originado en mensaje de su excelencia el Presidente de la República.
Idea matriz
La idea matriz o fundamental del proyecto consiste en modificar el Código Penal para agravar la pena del delito de secuestro en los casos que indica.
Discusión del proyecto
Durante la discusión del proyecto se recibió al subsecretario de Prevención del Delito, don Eduardo Vergara Bolbarán ; al subsecretario de Justicia, don Jaime Gajardo Falcón ; a la jefa de la División Jurídica del Ministerio de Justicia y Derechos Humanos, señora María Ester Torres Hidalgo, y al asesor legislativo del Ministerio del Interior y Seguridad Pública señor José Tomás Humud Respaldiza .
El proyecto modifica el artículo 141 del Código Penal, que tipifica y sanciona el delito de secuestro. El sentido de este proyecto es adaptarse al surgimiento de figuras delictivas como los secuestros exprés, dado que bajo la norma actual solo se aumenta la pena del delito de secuestro cuando este se prolongare por más de 15 días; en cambio, el proyecto propuesto aumenta la pena cuando el encierro o detención se prolongare por más de 48 horas.
Además, aumenta la pena que se contempla en la norma actual cuando el que con motivo u ocasión del secuestro cometiere, además, homicidio, violación o algunas de las lesiones comprendidas en los artículos 395, 396 y 397, N°
1, del Código Penal, en la persona del ofendido, esto es castración, mutilación de un miembro importante o lesiones graves.
En efecto, en la norma actual la sanción por este último caso va de presidio mayor en su grado máximo a presidio perpetuo calificado, aumentándose por el proyecto de presidio perpetuo a presidio perpetuo calificado.
Este proyecto da las señales necesarias para inhibir la comisión de estos delitos, como también adaptar nuestra legislación a delitos emergentes.
Habiendo aprobado la comisión el proyecto, igualmente solicito su aprobación a esta honorable Sala.
Es todo cuanto puedo informar.
He dicho.";1
"2";"21557";5;2023;3;"LILAYU";NA;"El señor LILAYU.-
Señor Presidente, la valoración de este proyecto es positiva, pues resulta necesario destacar que no solo es una señal clara en la lucha contra la delincuencia, sino que, además, es una herramienta que, de aplicarse por los tribunales, debiera resultar en mayores penas para quienes cometan el delito. De esta forma se cumpliría con la finalidad propuesta por el Ejecutivo de responder con mayor intensidad a los secuestros no extorsivos y reforzar la capacidad disuasiva del sistema penal en la materia.
La importancia y urgencia de la iniciativa radica, principalmente, en el aumento de este delito en el último año. En enero de este año, tanto la Policía de Investigaciones (PDI) como Carabineros daban cuenta de un aumento de este delito.
Según la PDI, en el año 2022 se anotaron 46 secuestros, lo que implica un aumento de 76,9 por ciento respecto del año anterior, que arrojó un 26 por ciento.
Este martes, Carabineros informó que, de acuerdo con los números que maneja la policía uniformada, entre el 2017 y el 2022 se registraron 1.925 de estos delitos, y tan solo el año pasado se contabilizaron 508 secuestros, donde muchos de los casos apuntan al de tipo extorsivo, es decir, cuando se pide dinero a cambio de la liberación.
Para una mejor comprensión del contenido del efecto de la modificación legal propuesta, puede resultar ilustrativo tener presente que el tipo penal de secuestro está regulado en el artículo 141 del Código Penal y tiene aparejadas distintas penas según su…
Lamentablemente, no me alcanza el tiempo, pero claramente anuncio mi voto a favor en este importante tema.
He dicho.";1
"3";"21557";7;2023;3;"BECKER";NA;"El señor BECKER.-
Señor Presidente, francamente, creo que este tipo de leyes van a enviar un mensaje claro a los delincuentes: que este tipo de actividades no las pueden desarrollar en nuestro país.
En ese sentido, creo que todos tenemos que hacer un esfuerzo para que los mensajes que entreguemos a la comunidad y a los delincuentes sean claros y fuertes, de manera que no se produzcan medias aguas en ese
sentido.
Al inicio de la sesión, estábamos viendo la posibilidad de sancionar o de adoptar un acuerdo de la Cámara de Diputados por un tema, pero yo quiero recordar a nuestros amigos de izquierda y ultraizquierda que hubo gente que se puso poleras con la imagen del senador Jaime Guzmán asesinado, por ejemplo. Ese es un mal mensaje para los delincuentes.
También es un mal mensaje para los delincuentes cuando un diputado o diputada se refiere al senador Jaime Guzmán diciendo: “Bien muerto está el perro”. En ese sentido, creo que como autoridades tenemos que hacer un esfuerzo por no enviar ese tipo de mensajes.
Obviamente, como bancada vamos a apoyar este proyecto, porque creo que es muy importante. También creo que es muy necesario que hoy estemos acá, habiendo interrumpido nuestra semana distrital. Aunque a algunos les parezca que no era necesario, yo creo que sí lo era. Debemos hacer un gran esfuerzo por sacar adelante estos y otros proyectos que vayan en el camino correcto, para evitar que nuestro país caiga en las manos de los delincuentes y los terroristas.
Hoy, tenemos a dos diputados de nuestra región amenazados de muerte. Esto también tiene que ver con lo que ha estado ocurriendo en la Región de La Araucanía, donde también se han producido secuestros, asesinatos y crímenes. Como estamos lejos, parece que muchos ven esos delitos como algo que ocurre en otra parte, pero la verdad es que están ocurriendo a mil kilómetros de aquí, en la Región de La Araucanía y en la provincia de Arauco.
En ese sentido, hago un llamado a todos a hacer un esfuerzo para que los mensajes que entreguemos sean claros y fuertes, para que Chile vaya por el camino correcto. Eso es lo que queremos.
¡Dios bendiga a Chile, estimados camaradas y amigos!
He dicho.";1
"4";"21557";9;2023;3;"BRAVO";"doña Marta";"La señorita BRAVO (doña Marta) .-
Señor Presidente, la crisis que estamos viviendo a nivel de seguridad cuenta con un sinfín de aristas, dentro de las cuales se encuentra la diversificación de delitos de alta peligrosidad que no acostumbrábamos a visualizar de manera tan seguida en nuestro país hasta hace algunos años.
Según datos de la Policía de Investigaciones, el 2022 la Brigada de Investigaciones Policiales Especiales Metropolitana detuvo a un total de 76 personas por secuestro, más del doble de la cantidad registrada el año 2021.
Además, los casos investigados por este delito aumentaron de 26 a 46 en solo un año. Este registro amerita que se implementen todas las medidas necesarias para impedir que las cifras sigan aumentando. Eso solo será posible si existe coordinación entre los diferentes organismos involucrados en la materia.
Por lo demás, nuestro ordenamiento jurídico debe contener penas más duras para los responsables de esta conducta, evitando que vuelvan prontamente a las calles a seguir cometiendo este y otro tipo de delitos.
Nos encontramos en medio de una de las batallas más complejas que hemos enfrentado en contra de la delincuencia. Por ello, hago un llamado para que nos pongamos del lado de las víctimas y para que se fortalezca el rol de las policías, brindándoles la mayor cantidad de facultades para ganar esta terrible batalla que atemoriza permanentemente a las personas de nuestro país.
He dicho.";1
"5";"21557";11;2023;3;"TOHÁ";"ministra del Interior y Seguridad Pública";"La señora TOHÁ, doña Carolina (ministra del Interior y Seguridad Pública).-
Señor Presidente, en primer lugar, en nombre del gobierno quiero expresar públicamente nuestra solidaridad y rechazo absoluto a las amenazas que han sufrido los diputados Mauricio Ojeda y Miguel Mellado , información que recibimos aquí en la Sala; si la hubiéramos tenido previamente, hubiésemos expresado esto en una oportunidad anterior.
A propósito de esos hechos, no solo vamos a hacernos parte en esta solidaridad y rechazo, sino que también en perseguir a quienes están detrás de esas amenazas. Cuando se amenaza a una autoridad electa democráticamente, se está amenazando a la democracia. Independiente de que uno pueda compartir o no las opiniones, nadie puede verse expuesto a amenazas por ejercer el rol para el cual fue electo o electa. Por eso, el Ejecutivo considera inadmisibles estos hechos.
También me quiero sumar a las condolencias a la diputada Gloria Naveillan por el fallecimiento de su padre.
Diputada, vaya para usted nuestro cariño, el que hemos expresado muchas veces. Las diferencias que tenemos son conocidas públicamente, pero a veces el cariño no tanto. Por lo tanto, nos sumamos a la solidaridad con usted y su familia, por la muerte de su padre.
A propósito del proyecto que hoy está en discusión, quiero señalar que este fue parte de un paquete de iniciativas que presentó el Ejecutivo, que incluyen no solo la materia que estamos analizando en este momento, que se refiere a secuestro, sino también la modificación de las normas en lo que se refiere al tratamiento del sicariato y de la extorsión, y a las facultades que tiene Gendarmería para contribuir a la investigación de delitos que se organizan desde los recintos penales, y también las normas para perseguir el porte de armas en lugares altamente concurridos.
Este conjunto de proyectos se presentó de manera simultánea. La Cámara de Diputados decidió tratarlos en la Comisión de Constitución. Son proyectos muy importantes, pero relativamente breves y bastante puntuales. Eso ha permitido un tratamiento muy rápido.
Creemos que el contexto actual, lo que ha sucedido con motivo del asesinato de la sargento Rita Olivares , ha motivado este esfuerzo de hacer sesiones extraordinarias, tanto aquí en la Cámara de Diputados como en el Senado. Creemos que el hecho de avanzar rápido es una señal muy importante. ¿Por qué? Primero, porque este es un tipo de delitos que vemos que suceden permanentemente en nuestro país, pero que no eran habituales en el pasado. Por lo mismo, nos hemos dado cuenta de que muchos de los instrumentos que tenemos para enfrentarlos son insuficientes. Algunos de esos instrumentos son de tipo legal, pero no solo son de ese tipo. También hay que mejorar y fortalecer los instrumentos de tipo investigativo.
No sé si recuerdan que hace poco tiempo hubo un funcionario de la Policía de Investigaciones (PDI) que fue secuestrado en Ecuador. En esa oportunidad, tuvimos una colaboración muy amplia de la policía ecuatoriana. Con motivo de esa colaboración hubo mucho intercambio…
Un señor DIPUTADO.-
¡Era un marino!";1
"6";"21557";12;2023;3;"TOHÁ";"ministra del Interior y Seguridad Pública";"La señora TOHÁ, doña Carolina (ministra del Interior y Seguridad Pública).-
Efectivamente, tiene razón el diputado. Era un marino.
Como la policía ecuatoriana tuvo como contraparte a la PDI en Chile, por eso me confundí. Tuvimos mucho intercambio con la policía ecuatoriana, la cual tiene una especialización en el tema de secuestros; o sea, es todo un tipo de trabajo que se hace para estos delitos, que es específico. Entonces, no es solo la ley; hay que hacer muchas cosas en paralelo. ¿Y por qué hay que hacerlas? Por la incidencia que ha pasado a tener este delito. En 2022 tuvimos, en total, 574 casos policiales de secuestro. Son muchos; es más de uno al día. De ellos, el 74 por ciento fueron secuestros sin lesiones y poco más del 25 por ciento fueron secuestros con algún tipo de lesión.
Desde 2019 no hemos tenido secuestros asociados a homicidios, violaciones o lesiones graves. Los datos comparativos indican que desde 2021 a 2022 aumentó a 79 por ciento el delito de secuestro; repito: 79 por ciento.
Y respecto de 2019, a 51 por ciento. Eso quiere decir que en 2019 hubo más secuestros que en 2021, pero la tendencia es al alza. Esto hace que nos preocupemos de cómo tenemos regulada esta materia, porque en la actualidad la hipótesis de secuestros más graves, es decir, de los que se extienden más allá de quince días y de los que terminan con el homicidio o lesiones graves de las personas secuestradas, tiene condenas que van desde los cinco años y un día hasta los veinte años. El secuestro extorsivo también tiene este tipo de pena. Sin embargo, otras hipótesis de secuestro solamente tienen penas que van desde los tres años y un día a cinco años.
Por lo tanto, en los casos de secuestro por más de quince días, lesiones graves o secuestro extorsivo, pasamos a penas altísimas; pero si no se cumple ninguna de esas hipótesis que señalé, por ejemplo, un secuestro por ocho días, las penas son relativamente bajas, de un máximo de cinco años.
Por ello, lo que hacemos con este proyecto es elevar las penas, cuando el secuestro es superior a cuarenta y ocho horas e inferior a quince días, desde cinco años y un día a quince años. Eso lo transforma en un delito de alta gravedad, como corresponde a lo que significa tener a una persona retenida, privada de su libertad y bajo la condición de amenaza para ella y su familia, y controlada por delincuentes.
A esta iniciativa se sumó, por parte de los integrantes de la Comisión de Constitución, la idea de subir las penas máximas y llevarlas -en la actualidad van desde presidio mayor en su grado máximo a perpetuo calificado desde presidio perpetuo simple a calificado. O sea, elevarlas a presidio perpetuo en cualquier caso, en la hipótesis anteriormente descrita: secuestro extorsivo, más de quince días, lesiones graves o muerte.
En consecuencia, lo que hacemos con este proyecto es mandar una señal acerca de la gravedad de este delito y de que será altamente castigado. Pero esta señal será efectiva en la medida en que, al mismo tiempo, trabajemos en reforzar nuestras capacidades policiales, trabajemos en reforzar nuestras capacidades investigativas por parte de la Fiscalía, y hagamos un esfuerzo sistémico para atacar con fuerza este tipo de delitos que estamos viendo hoy, de modo de lograr no solo que dejen de aumentar, o sea, parar esta curva de escalada, sino hacerlos retroceder.
Desde el Ejecutivo se agradece el tratamiento que ha tenido este mensaje del Presidente, así como también el de los demás proyectos que hoy se encuentran en la Sala para ser votados y despachados al Senado.
Muchas gracias.
He dicho.";1
"7";"21557";14;2023;3;"ARCE";"doña Mónica";"La señora ARCE (doña Mónica).-
Señor Presidente, por su intermedio saludo a mis compañeros y a la ministra.
Me preocupan sobremanera los discursos que estamos entregando. Lamento mucho que al compañero Mauricio Ojeda y al otro colega los hayan amenazado de muerte. Lo encuentro terrible, horrible, macabro y, por supuesto, antidemocrático.
Sin embargo, por su intermedio, señor Presidente, le quiero decir a la señora ministra que no tan solo esos compañeros fueron amenazados. Las semanas pasadas, la diputada Viviana Delgado y yo también fuimos amenazadas respecto de la reforma tributaria. Una amenaza fue por Twitter. En mi caso en particular, como madre, yo, mis hijos, mi familia y mi casa también fuimos amenazados.
Entonces, es bastante extraño que, por una parte, lamentemos que amenacen de muerte a compañeros, y, por otra, nosotros mismos seamos los que provocamos con nuestras peleas internas la normalización de la violencia y el mensaje que entregamos a la ciudadanía de que pelearnos entre nosotros, gritarnos, amenazarnos o insultarnos está bien, porque es tremendamente contradictorio.
Por eso, preferiría que el mensaje fuera transversal. Si nos parece horrendo y muy mal que amenacen de muerte a algunos compañeros, entonces tampoco nos amenacemos, no nos tratemos mal y no nos insultemos entre nosotros.
He dicho.";1
"8";"21557";16;2023;3;"RIQUELME";"doña Marcela";"La señora RIQUELME (doña Marcela).-
Señor Presidente, el delito de secuestro, que hoy concita nuestra atención, obedece precisamente en su formulación a una política criminal, como bien señaló la ministra, a quien saludo. Esto es responder a una problemática actual. ¿Y por qué es tan importante responder a una problemática actual? Porque, como bien dijo la ministra, desde 2021 a 2022 este es un delito que ha aumentado en 79 por ciento.
Pero vamos al análisis de las cifras. De setenta y seis personas detenidas en 2022, veintitrés corresponden a chilenos y cincuenta y tres a ciudadanos extranjeros, venezolanos y colombianos. Por otro lado, tenemos que se han desbaratado nueve bandas criminales, que, en lo sucesivo, serán sancionadas por el delito de crimen organizado -otra ley que también aprobamos-, y que también, lamentablemente, estaban integradas por ciudadanos extranjeros.
¿Cuál es el delito que principalmente va asociado al secuestro? El tráfico de drogas. Como bien dijo la ministra, los secuestros narcoextorsivos constituyen veintidós casos frente a otros que se llaman de otros fines.
Pues bien, hay que tener presente otro dato importante de política criminal, por lo que llamo a mis estimados colegas a que legislemos sobre esta materia también: de las 122 concurrencias de la Policía de Investigaciones el año 2022, 59 fueron falsas denuncias, falsos secuestros. Esta es una materia que también nos debiera importar por la distracción de recursos. De 122 denuncias, 59 fueron falsas. Por favor, recordemos la cifra.
Por otro lado, la brigada investigadora de personas extraviadas también ha tenido un importante papel en esto.
Creo que muchos no saben que en Chile tenemos hace años la figura del negociador policial, que responde a los más altos estándares policiales internacionales y que se encuentra precisamente radicado en dicha unidad. Creo que tampoco alguien sabe -ojalá alguno sepa- que Chile hoy está a cargo de la Secretaría Ejecutiva de la Comunidad Internacional Policial contra el Secuestro y la Extorsión. Efectivamente, Chile ocupa el lugar de la Secretaría Ejecutiva. Por tanto, este es un tema que estamos abordando. Este cargo se va a ejercer hasta este año, 2023.
Es importante que abordemos estas políticas criminales. Insisto: legislemos también sobre las denuncias falsas.
Pido tener presente la solicitud de sesionar los lunes o jueves en horario AM para tratar estos temas de forma permanente y no en nuestra semana distrital.
He dicho.";1
"9";"21557";18;2023;3;"LONGTON";NA;"El señor LONGTON.-
Señor Presidente, me alegra que estemos tratando proyectos que para parte importante del oficialismo eran en su momento una forma de populismo penal. No me haga ese gesto, ministra, por intermedio del señor Presidente, porque en el período pasado eso fue así. Iniciativas como esta no vieron la luz porque la coalición política que hoy es gobierno los votaba en contra, porque decía que era populismo penal. Eso es una realidad, ministra, por intermedio del señor Presidente.
En 2022, los secuestros aumentaron casi en 77 por ciento, según datos de la Policía de Investigaciones de Chile, mientras que según cifras de Carabineros de Chile estos se incrementaron incluso hasta en 79 por ciento. El 55 por ciento de los detenidos eran extranjeros, preferentemente venezolanos. Eso tiene que ver con el descontrol que existe en nuestras fronteras, pero también dice relación con una nueva modalidad de secuestro o con la incidencia de algunos tipos de secuestro de los que no teníamos conocimiento en nuestro país, los cuales son sumamente violentos.
Quiero citar un ejemplo: el secuestro del señor Juan González , un taxista de Quilpué cuyo cuerpo aún no es encontrado. Él fue brutalmente asesinado en una carrera que tomó en Viña del Mar y que terminó en Valparaíso.
Reitero que hasta hoy no encuentran su cuerpo, pero todos los indicios indican, con claridad, que fue asesinado. El juicio por ese caso partió ayer.
He tenido la oportunidad de estar con su familia, de manera que puedo señalar que es desgarrador el dolor que ellos sienten por no poder enterrar a un ser querido, además de lo que obviamente significa su pérdida. Desde aquí les mando un cariño a Érika, Yasna , Angélica y Elizabeth , familiares de Juan que no han cesado en su búsqueda.
El proyecto que estamos debatiendo es relevante, porque la legislación vigente hace una distinción odiosa respecto del número de días que está secuestrada una persona para efectos de establecer una pena mayor, independientemente del resultado. Eso había que corregirlo, que es lo que propone esta iniciativa, mediante el aumento de la pena, que será de cinco años y un día a quince años -en la actualidad es de tres años y un día a cinco años para el caso de secuestros que excedan las 48 horas.
Como Renovación Nacional presentamos una indicación a este proyecto que es relevante, la que también fue suscrita por Chile Vamos: subir la pena de presidio perpetuo a presidio perpetuo calificado en casos como el de Juan González , es decir, cuando el secuestro termine con resultado de muerte, violación o lesiones graves gravísimas. Así nos aseguramos de que la pena sea proporcional al daño cometido.
Reitero que se trata de un cambio relevante, el cual fue aprobado en la comisión, tal como esperamos que ocurra en esta Sala.
He dicho.";1
"10";"21557";20;2023;3;"VIDELA";NA;"El señor VIDELA.-
Señor Presidente, en primer lugar, quiero saludar a la ministra, a quien le pido, con mucho respeto, que ponga atención a mi intervención, dado que se han vivido situaciones complejas en Antofagasta.
El fin de semana pasado mataron a un extranjero a balazos en pleno centro de Antofagasta; hubo dos acuchillados por diversos motivos, y también atacaron a mis padres en el sector sur de la ciudad. Son situaciones que se repiten constantemente.
Por esto, solicito que las facultades que se disponen en el proyecto de infraestructura crítica se establezcan también en los puntos estratégicos de las ciudades del norte. Los militares deben apoyar a las policías, porque allí
la situación está, y ya no sabemos qué hacer.
La crisis migratoria también ha traído consigo crimen organizado, lo que, sin duda, se observa más en el norte que en el sur. De allí que pido a mis colegas de otras regiones, que a lo mejor no se ven tan afectadas por la delincuencia como ocurre en las comunas de mi distrito, que apoyen esta iniciativa, porque uno ya no ve que exista una salida para este problema, ministra por intermedio del señor Presidente.
Que sesionáramos en esta semana distrital, que se interrumpió para tal efecto, fue una buena medida, porque uno ya no ve qué se puede hacer para parar este problema de inseguridad.
Por lo tanto, vuelvo a solicitar que se analice la solicitud que hicimos en marzo del año pasado, en el sentido de decretar estado de excepción para el norte de nuestro país, la que finalmente se transformó en el proyecto de infraestructura crítica, con el objeto de que se faculte a los militares para controlar y detener, y llevar a los migrantes a un cuartel policial.
Finalmente, quiero señalar que espero que avancemos no solo en este tipo de proyectos, sino que apoyemos también otras iniciativas que vayan en beneficio de la tranquilidad y la paz de los vecinos y las vecinas del norte, porque en verdad ya estamos cansados.
He dicho.";1
