"";"ley";"id";"año";"mes";"apellido";"rol";"texto";"discurso"
"1";"21627";3;2021;7;"LONGTON";"de pie";"El señor LONGTON (de pie).-
Señor Presidente, en nombre de la Comisión de Seguridad Ciudadana vengo en informar el proyecto de ley, en primer trámite constitucional y primero reglamentario, con urgencia calificada de simple, que modifica el Código Penal para agravar la pena aplicable al delito de homicidio simple, boletín N° 14090-07, refundido con los boletines Nos 14091-07, 14092-07, 14100-07 y 14121-07, que modifican el decreto ley N° 321, de 1925, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, con el objeto de determinar mayores exigencias para la obtención de la libertar condicional, iniciados en diversas mociones que se enuncian en el informe respectivo, al igual que las diputadas y los diputados autores de las iniciativas.
Cabe hacer presente que en virtud de lo dispuesto en el artículo 17 A de la ley N° 18.918, Orgánica Constitucional
8
del Congreso Nacional, y a petición de esta comisión, en su sesión N° 22, de 21 de abril de 2021, la Cámara de Diputados acordó que las referidas mociones fueran refundidas y tramitadas conjuntamente.
La excelentísima Corte Suprema, en virtud de los incisos segundo y tercero del artículo 77 de la Constitución Política de la República, remitió el oficio Nº 62-2021, de 13 de abril de 2021, dando su opinión respecto de la moción contenida en el boletín Nº 14092-07.
Ideas matrices o fundamentales
Las ideas centrales de los proyectos refundidos se orientan a los siguientes objetivos: Aumentar la pena aplicable al homicidio simple, a presidio mayor en su grado máximo, esto es, de quince a veinte años.
Establecer mayores exigencias y requisitos para la concesión y obtención de la libertad condicional.
Normas de carácter orgánico constitucional o de quorum calificado
Tienen el rango de ley orgánica constitucional el Nº 4 del artículo 2º, que modifica el artículo 4º del decreto ley Nº 321, y el artículo 3º del texto aprobado por esta comisión, conforme a lo dispuesto en los incisos primero y segundo del artículo 77 de la Constitución Política de la República de Chile y en el artículo 16 de la ley N° 18.918, Orgánica Constitucional del Congreso Nacional.
Asimismo, tienen el rango de ley orgánica constitucional los incisos segundo, cuarto y quinto del artículo 4 bis, nuevo, contenido en el Nº 5 del artículo 2 del texto aprobado, de acuerdo con lo dispuesto en el inciso primero del artículo 84 de la Constitución Política de la República de Chile.
No hay normas que tengan rango de quorum calificado.
No contiene normas que requieran trámite en la Comisión de Hacienda. El proyecto fue aprobado en general, por mayoría de votos.
Puesta en votación la idea de legislar, fue aprobada por mayoría de votos.
Votaron a favor los diputados señores Jorge Alessandri , Pepe Auth , Miguel Ángel Calisto , Gonzalo Fuenzalida , Raúl Leiva , Andrés Longton , Cristhian Moreira , Andrea Parra , Sebastián Torrealba y Osvaldo Urrutia . Se abstuvieron el diputado señor Marcelo Díaz y las diputadas señoras Maite Orsini y Marisela Santibáñez .
La totalidad de los artículos de cada una de las mociones fueron rechazados. Las indicaciones rechazadas se encuentran detalladas en el informe pertinente.
Relación descriptiva de los proyectos
La moción del boletín N° 14090-07 consta de un artículo único, que modifica el Nº 2 del artículo 391 del Código Penal, agravando la pena por la comisión del delito de homicidio simple, de presido mayor en su grado medio, es decir, de diez a quince años, a presidio mayor en su grado máximo, esto es, de quince a veinte años.
La moción del boletín N° 14091-07 consta de un artículo único, que modifica el inciso tercero del artículo 3º del decreto ley N° 321, de 1925, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, que incluye al delito de homicidio simple dentro de aquellos que pueden optar al beneficio de la libertad condicional, habiendo cumplido dos tercios efectivos de la pena.
La moción del boletín N° 14092-07 consta de un artículo único, que introduce diversas modificaciones en el artículo 4º del decreto ley Nº 321, de 1925, con el propósito de eliminar la participación de los ministros de Corte en la integración de las comisiones de libertad condicional.
La moción del boletín N° 14100-07 consta de un artículo único, que modifica el artículo 2º del decreto ley Nº 321, de 1925, con la finalidad de añadir como requisito para postular a la libertad condicional el haber gozado previamente de un beneficio intrapenitenciario que no haya sido revocado por causa imputable al postulante.
La moción del boletín N° 14121-07 consta de un artículo único, que modifica los artículos 3º y 3º bis del decreto ley Nº 321, de 1925, con el objeto de aumentar el tiempo de cumplimiento de la pena de algunos delitos a cuatro
8
quintos para obtener el beneficio de la libertad condicional y exigir audiencia de las víctimas o sus familiares al evaluar la concesión o denegación del referido beneficio a los condenados por determinados delitos.
Disposiciones legales que los proyectos modifican
Las iniciativas refundidas en estudio modifican el Código Penal y el decreto ley Nº 321, de 1925, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, de la manera descrita en el acápite anterior.
Teniendo en vista las consideraciones y los argumentos contenidos en las mociones refundidas y las opiniones y las observaciones planteadas por las autoridades y los invitados, las señoras diputadas y los señores diputados decidieron aprobar la idea de legislar sobre la materia.
Puesta en votación general la idea de legislar, se aprobó por mayoría de votos, en la forma descrita en las constancias reglamentarias previas.
Discusión y votación particular
Por tratarse de mociones refundidas, la Secretaría elaboró una propuesta de articulado refundido sobre la materia.
Al efecto, la comisión acordó por unanimidad tener como texto base de trabajo esta propuesta para su discusión y votación particular, dando por rechazados los artículos de cada una de las mociones refundidas.
Los principales aspectos y temas aprobados por la comisión son los siguientes:
En el Código Penal se aumenta el rango de la pena aplicable al delito de homicidio simple, de presidio mayor en su grado medio -es decir, de 10 a 15 añosa presidio mayor en su grado medio a máximo, lo que importa una penalidad que va de 10 a 20 años de privación de libertad.
Respecto de las modificaciones al decreto ley Nº 321, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, primero, acerca de contar con un informe de postulación psicosocial elaborado por un equipo profesional del área técnica de Gendarmería de Chile, que permita orientar sobre los factores de riesgo de reincidencia, con el fin de conocer sus posibilidades para reinsertarse adecuadamente en la sociedad, se establece que será un antecedente calificado al momento de resolver la respectiva solicitud.
Segundo, se incorpora un cuarto requisito para postular a la obtención de la libertad condicional, un numeral 4) que dice: “4) Contar con un informe de los beneficios intrapenitenciarios, si estos fueron otorgados y su eventual revocación por causas imputables al condenado.”.
Tercero, se establece que a quien le fuere negada la libertad condicional no podrá postular nuevamente sino hasta la primera quincena de abril o de octubre del año siguiente, cuando la postulación rechazada se hubiere solicitado durante los meses de abril u octubre, respectivamente.
Cuarto, se incorpora el delito de homicidio simple en el catálogo de aquellos delitos en que para optar al beneficio de la libertad condicional el condenado debe haber cumplido dos tercios de la pena.
Quinto, se elimina como integrante de la Comisión de Libertad Condicional, encargada de conocer las postulaciones de libertades condicionales, a los ministros de cortes de apelaciones, quedando solo compuestas por cinco jueces de juzgados de garantía o de tribunales de juicio oral en lo penal y por once la Comisión de Libertad Condicional de Santiago.
Sexto, se intercala un nuevo artículo 4 bis en el decreto ley Nº 321, sobre libertad condicional, en que se ordena que la Comisión de Libertad Condicional comunique al Ministerio Público el listado total de postulantes al beneficio de libertad condicional que hayan sido condenados a penas de presidio perpetuo calificado, presidio perpetuo o por alguno de los delitos que, de conformidad con la presente ley, requieran dos tercios de la condena cumplida para acceder a la libertad condicional.
Una vez recibida por el Ministerio Público esa información, comunicará a la víctima del delito, a quien hubiere deducido la respectiva querella si la víctima fuere indeterminada o a todas ellas si fueren más de una, que el
8
condenado ha postulado al beneficio de la libertad condicional.
La víctima o el querellante podrán manifestar al Ministerio Público sus observaciones a la postulación elevada por el condenado, oponiéndose a esta.
En estos casos, con especial consideración de las observaciones manifestadas por la víctima o el querellante, y en estricta observancia del deber de proteger a las víctimas, el Ministerio Público podrá oponerse a la postulación mediante presentación hecha por escrito ante la Comisión de Libertad Condicional. En todos los casos en que el Ministerio Público hubiere representado a la comisión su oposición a la postulación al beneficio de libertad condicional, deberá comunicar a la víctima lo resuelto por la comisión en cuanto a haberse concedido o denegado dicho beneficio.
Séptimo, se establece que procederá siempre la revocación del beneficio cuando el condenado realizare acciones tendientes a amedrentar u hostigar a la víctima y sus familiares.
Octavo, se intercala un nuevo artículo 16 bis en el decreto ley Nº 2.859, que fija la Ley Orgánica de Gendarmería de Chile, que exige que los permisos de salida que beneficiaren a condenados por los delitos que, de conformidad con el decreto ley N° 321, de 1925, que establece la libertad condicional para las personas condenadas a penas privativas de libertad, requiriesen de los dos tercios de la pena cumplida para acceder al beneficio de la libertad condicional deben ser autorizados por el juez de garantía de la comuna de asiento de la unidad penal respectiva.
Por último, se establece que procederá siempre la revocación del beneficio de libertad condicional cuando el condenado realizare acciones tendientes a amedrentar u hostigar a la víctima y sus familiares.
Es todo cuanto puedo informar.
He dicho.";1
"2";"21627";5;2021;7;"OLIVERA";"doña Érika";"La señora OLIVERA (doña Érika).-
Señor Presidente, está en discusión un proyecto iniciado en diferentes mociones refundidas sobre la libertad condicional.
Día a día somos testigos del aumento de la violencia delictiva. Hoy no solo se cometen más delitos, sino también estos son más violentos y más crueles, además de que tienen como víctimas a personas que hasta hace algunas décadas -esto también lo dije en una intervención anterior la sociedad e, incluso, los delincuentes respetaban.
Antes era impensable que un delincuente con intención de robar un vehículo matara a un niño o una niña, entre otras situaciones de similar gravedad.
Sin duda, tenemos mucho que avanzar en materia de persecución penal y de protección en caso de que las víctimas sean personas vulnerables: niños, niñas, adolescentes, adultos mayores o personas en situación de discapacidad.
8
Aún nos falta mucho por hacer para establecer los mecanismos precisos y adecuados para el resguardo de sus derechos y para asegurarles una vida en tranquilidad, porque siempre existirá la amenaza de ser nuevamente víctima de delitos, especialmente cuando el condenado sale de la cárcel con algún tipo de beneficio penitenciario.
Hasta el momento, la institucionalidad que regula la concesión del beneficio de libertad condicional no contempla ninguna instancia en la cual las víctimas puedan opinar o manifestar sus preocupaciones o miedos en caso de que su victimario salga en libertad, lo que incrementa de manera importante el dolor que ya sufrieron en razón del delito.
Por ello, en una de las mociones refundidas en este proyecto hemos propuesto la obligación para la Comisión de Libertad Condicional de citar a las víctimas o a sus familiares, en su defecto, para que concurran ante ella a dar su opinión sobre la entrega del beneficio al condenado, con el fin de que la comisión sepa de primera fuente las eventuales consecuencias de la concesión del beneficio, considerando que dicha audiencia para la víctima es un mecanismo ya contemplado en otros instrumentos de derecho internacional ratificados por Chile, como el Estatuto de Roma.
Valoro y agradezco a los integrantes de la Comisión de Seguridad Ciudadana la aprobación de nuestra indicación, que busca aumentar el plazo cumplido de la pena para la obtención del beneficio, de dos tercios a cuatro quintos, cuando el condenado ha cometido un delito contra una persona menor de dieciocho años. Los niños, niñas y adolescentes, y toda persona, tienen el derecho a vivir en tranquilidad, sin la amenaza de volver a ser víctima de un delito.
Deseo continuar avanzando en proyectos de ley que vayan en esta línea, ojalá de manera transversal, actuando en conciencia y poniendo siempre a las víctimas primero.
He dicho.";1
"3";"21627";7;2021;7;"MOREIRA";NA;"El señor MOREIRA.-
Señor Presidente, lamentablemente, cada cierto tiempo la sociedad toma conocimiento de los más atroces crímenes cometidos por sujetos que gozaban de libertad condicional y que nadie puede comprender, ni jurídica ni menos racionalmente, por qué estaban libres; personas que son un verdadero peligro para la sociedad, que no han logrado rehabilitarse, que cuentan con informes contrarios por parte de Gendarmería, han sido puestas en libertad.
Entonces, ¿qué tiene que pasar para que se deniegue un beneficio carcelario? ¿Cómo puede ser que los beneficios carcelarios los obtengan todos los condenados?
Este proyecto busca resolver estos problemas. No podemos seguir sacrificando la tranquilidad de las familias y el bienestar de la sociedad por delincuentes que, habiendo cometido crímenes horrendos, circulan por las calles con la mayor tranquilidad.
Esto no quiere decir que estemos en contra de la libertad condicional. No nos equivoquemos. La libertad condicional debe aplicarse con criterios, con sentido común. La libertad condicional debe otorgarse a personas que han dado muestras de rehabilitación y de que están capacitadas para volver a vivir en sociedad.
La libertad condicional no es un derecho; es un beneficio que debe concederse siempre que el mérito lo haga procedente. ¡Basta de conceder libertad condicional a quienes la propia Gendarmería dice que no están preparados para reinsertarse! ¡Basta de conceder libertad condicional a las personas por el solo hecho de que hayan pasado un tiempo en la cárcel, ya que apenas son puestas en libertad, vuelven a delinquir y cometen los peores crímenes!
Sin duda, este proyecto de ley va en la línea correcta y viene a enmendar una situación jurídica que costó la vida a varias personas. Además, este proyecto tiene la especial sensibilidad de considerar a las víctimas y sus opiniones al momento de concederse la libertad condicional. Las víctimas en nuestro país siempre quedan relegadas a un
8
segundo plano y, muchas veces, son ignoradas a lo largo del proceso penal. Me parece bien que en esta oportunidad la legislación les conceda espacios mínimos para pronunciarse respecto de la libertad de su agresor.
Desde ya anuncio mi voto favorable a esta iniciativa legal, ya que hasta la fecha existe una desconexión total entre los requisitos para la obtención de beneficios carcelarios, en este caso, el de libertad condicional, en atención a la gravedad de los delitos cometidos.
He dicho.";1
"4";"21627";9;2021;7;"SANTIBÁÑEZ";"doña Marisela";"La señorita SANTIBÁÑEZ (doña Marisela) .-
Señor Presidente, la presente iniciativa legal, correspondiente a los boletines refundidos que, por un lado, intentan poner mayores requisitos para obtener beneficios carcelarios y, por otro, aumentan las penas, enfrenta de mala manera y de forma errónea, según nuestro criterio, la lucha contra el crimen y el delito.
En ese sentido, aumentar las penas en el caso particular del homicidio simple no contribuye y nunca contribuirá a una reinserción social, y solo trae aparejado un retroceso, ya que, como bien sabemos, la cárcel solo constituye una escuela o una profesionalización del crimen. Por ejemplo, personas que cometieron delitos de baja penalidad, al salir de la cárcel los repiten como expertos criminales.
Las estrategias basadas en la criminalización y en el exceso de penas son estrategias fracasadas y los gobiernos que las han usado no han tenido ningún tipo de cambio significativo en esta materia.
Creemos que una estrategia para enfrentar esta clase de delitos debe ser más innovadora, debe propender siempre a que estos no se cometan -no debe simplemente consistir en un aumento significativo de las penas o en una desproporcionalidad entre el hecho punible y la pena asignada al delitoy, por cierto, debe generar condiciones para una correcta y real reinserción social de los detenidos.
Finalmente y como en más de una ocasión lo he señalado en la Comisión de Seguridad Ciudadanía y también en la Comisión Bicameral de Seguridad Ciudadana, dada la situación actual del país, debiese existir una política integral en seguridad pública que no solo avance en lo punitivo, sino también en el ámbito de la reinserción y de la disminución de la reincidencia delictual, de modo que ello permita progresar hacia una sociedad integral e inclusiva.
Por lo tanto, como bancada, vamos a tomar la determinación de cómo votar, porque no podemos dejar de entender que el caso de Ámbar nos conmovió como sociedad y, sin duda, debemos considerarlo al momento de decidir. Será la bancada del Partido Comunista la que determinará cómo vamos a votar en esta situación. Pero creo francamente en mi posición como diputada de la Comisión de Seguridad Ciudadana que lo que se propone no es el mejor camino, pero simplemente debemos avanzar.
He dicho.";1
"5";"21627";11;2021;7;"LEIVA";NA;"El señor LEIVA.-
Señor Presidente, este proyecto de ley fue ampliamente discutido en la Comisión de Seguridad Ciudadana, que me toca presidir.
Son varios proyectos los que se refundieron con la aprobación de esta Sala, que buscan aumentar la pena en un caso específico, cual es el de homicidio simple, ya que muchas veces el bien jurídico tutelado, que era vida, estaba
8
por debajo, incluso, de otro tipo de delitos en contra de la propiedad.
Además, este proyecto avanza en restringir u objetivar las libertades condicionales no solo respecto del requisito de postulación a la libertad condicional cuando se trata de ciertos delitos muy graves, sobre todo de los que dicen relación con delitos sexuales y contra menores, en que aumenta de dos tercios a cuatro quintos el cumplimiento de la condena, sino también a propósito de casos que, incluso, fueron objeto de una comisión investigadora, como el ocurrido en Valparaíso, en que la composición de la comisión de libertad condicional era un tema muy complejo, porque estaba integrada, entre otros, por un magistrado, un ministro de corte de mayor jerarquía, quien, en definitiva, indisponía o hacía un tipo de presión respecto de los jueces de garantías, lo que también se elimina y significa un avance en este proyecto de ley.
Además, se da la posibilidad a la víctima y se le considera en la decisión que la comisión de libertad condicional, en caso de cierto tipo de delitos, va a adoptar. Igualmente, se establece que, previo a la libertad condicional, se deben cumplir ciertos requisitos o ciertos pasos previos de beneficios intrapenitenciarios, lo que nos parece muy relevante.
Reitero: en la Comisión de Seguridad Ciudadana se discutió, se analizó, se presentaron indicaciones y por amplia mayoría se aprobó gran parte de los artículos del proyecto.
En consecuencia, hago el llamado a votar favorablemente esta iniciativa.
He dicho.";1
"6";"21627";13;2021;7;"PARRA";"doña Andrea";"La señora PARRA (doña Andrea).-
Señor Presidente, me parece muy importante recordar que casos como el de Ámbar no son únicos; han sido bastante frecuentes. De un tiempo a esta parte, hemos conocido una y otra vez casos de personas que obtienen la libertad condicional y que finalmente terminan repitiendo los mismos delitos, producto de que no hemos establecido con claridad que hay que tener requisitos para obtener la libertad condicional y que es importante considerar los informes de Gendarmería y de todos los organismos competentes; que es importante que las víctimas y sus familias, en caso de contar con nuevos antecedentes, también tengan un espacio para presentarlos frente al otorgamiento de una libertad condicional. Por lo tanto, estoy muy de acuerdo con este proyecto.
Siempre he estado en contra de establecer en el sistema penas más gravosas, porque, sin duda, ya sabemos que en sí mismas, como objetivo, han sido ineficaces en términos de desincentivar la comisión de delitos, pero - digámoslo con franqueza teníamos un catálogo del Código Penal bastante desequilibrado. Probablemente el robo con intimidación es tanto o más gravoso que el propio homicidio simple, o está en términos bastantes similares.
Eso también requiere de una responsabilidad de los legisladores en términos de hacer la diferencia.
La vida de los seres humanos por supuesto que tiene que ser mucho más importante que las cosas. Por tanto, este proyecto no solo contribuye al equilibrio en el Código Penal, sino que también viene a resolver una cuestión muy sentida por la comunidad.
Por supuesto, voy a aprobarlo, porque da la posibilidad de que el beneficio de la libertad condicional, que es un beneficio y no un derecho, se obtenga producto de la gradualidad de ciertos procesos y de la opinión de muchos y muchas.
Llamo a los colegas a aprobar este proyecto. Creo que esta iniciativa ha sido analizada con mucha responsabilidad y con seriedad. Desde nuestro espacio político no debemos tener temor a mejorar la legislación, porque lo primero que debe movernos es la respuesta a la ciudadanía, a esas personas que han sido dañadas profundamente, a esos menores de edad que han sido asesinados o violentados sexualmente y que, muchas veces, después vuelven a ver a esos asesinos o delincuentes en la calle, con una facilidad que hoy nadie puede explicar.
8
Por lo tanto, con mucha claridad, llamo a todos a aprobar este proyecto de ley, porque no es uno que vaya en contra de la reinserción social, sino más bien instala equilibrio en las comisiones de libertad condicional, da espacio a las víctimas y, por supuesto, permitirá producir esa justicia que muchas veces las mismas víctimas no encuentran.
He dicho.";1
"7";"21627";15;2021;7;"WALKER";NA;"El señor WALKER.-
Señor Presidente, este es un proyecto muy similar al que votamos ayer en la Cámara de Diputados, que establece una protección penal especial o, más bien, refuerza la protección penal a los menores de dieciocho años de edad, a las personas con discapacidad y a los adultos mayores. De hecho, el aumento de la pena del homicidio simple es exactamente el mismo que aprobamos ayer, y queda la determinación de la pena entre los diez y los veinte años; o sea, es exactamente igual.
No obstante, hay una diferencia en el caso del homicidio de los menores de dieciocho años de edad, donde, creo, hay un error jurídico serio en el proyecto.
Con todo respeto a la Comisión de Seguridad Ciudadana y a sus miembros, que trabajaron en este proyecto, quiero observar que se señala, para el caso de delitos donde haya sido víctima una persona menor de dieciocho años de edad, que el condenado no podrá postular al beneficio sino hasta cumplir cuatro quintos de la pena fijada.
Al respecto, deseo explicar por qué, en el proyecto discutido ayer, aprobamos aumentar el umbral de cumplimiento mínimo de la pena a dos tercios, que antes era a la mitad de la condena. Lo dejamos en dos tercios, porque ese es el máximo umbral que permite el Estatuto de Roma de la Corte Penal Internacional, incluso para los delitos de lesa humanidad.
Le recuerdo a esta honorable Cámara que, hace algunos años, modificamos el decreto ley N° 321 en términos tales que nunca se puede otorgar la libertad condicional al autor de un delito de lesa humanidad si no han transcurrido dos tercios del cumplimiento de la pena. Ese es el umbral máximo que permite el Estatuto de Roma de la Corte Penal Internacional.
Ahora bien, si nosotros aprobáramos el presente proyecto de ley en los mismos términos en que lo propone la Comisión de Seguridad Ciudadana, estaríamos fijando para el homicidio simple una exigencia mayor que para los delitos de lesa humanidad, que, de acuerdo con el Estatuto de Roma y los tratados internacionales de derechos humanos suscritos por Chile, son los de mayor gravedad en nuestra legislación. No puede haber una exigencia mayor que la que se establece respecto de los delitos de lesa humanidad.
Por esa razón, junto a los diputados Leonardo Soto y René Saffirio , de la Comisión de Constitución, Legislación, Justicia y Reglamento, presentamos una indicación sustitutiva para corregir lo que, para nosotros, es un error, con la finalidad de que quede en dos tercios, que es exactamente lo que aprobamos ayer respecto del proyecto de ley de estatuto de protección penal a los menores de dieciocho años de edad, las personas con discapacidad y los adultos mayores, que ya adquirió un carácter misceláneo, porque agregamos específicamente el aumento de la pena del homicidio simple, tal como se propone en este proyecto, y también la nueva exigencia para el otorgamiento de la libertad condicional, en el caso del homicidio simple, que exige el transcurso de dos tercios de la condena.
Insisto: el establecer cuatro quintos sería una exigencia que atentaría contra los tratados internacionales de derechos humanos suscritos por Chile. Además, pondría el homicidio simple en un estatuto jurídico mayor al de los delitos de lesa humanidad cometidos por el Estado, cuestión que jurídicamente, en respeto de nuestra doctrina penal y de los tratados internacionales de derechos humanos suscritos por Chile, como el Estatuto de Roma, no corresponde.
8
En lo demás, por cierto, vamos a votar a favor este proyecto de ley.
He dicho.";1
"8";"21627";17;2021;7;"CASTILLO";"doña Natalia";"La señora CASTILLO (doña Natalia).-
Señor Presidente, efectivamente, este proyecto de ley se parece mucho al proyecto que vimos ayer, que mejora algunos tipos penales, como el de homicidio, en función de si es cometido contra personas menores de edad, niños, niñas y adolescentes, adultos mayores o personas con discapacidad.
No obstante, quiero hacer un punto: llevamos bastante tiempo en este período legislativo haciendo modificaciones a distintos tipos penales o bien creándolos. Al respecto, tenemos un desafío que es mayor que eso: hacer una restructuración que sea coherente entre los distintos tipos penales, lo que no se ha hecho.
Sé que hay un anteproyecto de reforma al Código Penal, que lleva mucho tiempo en discusión, con participación de distintos académicos, la sociedad civil y algunos parlamentarios. Creo que es momento de poner el foco en ese anteproyecto, con el objeto de que se traduzca en una reforma integral a nuestro sistema penal.
Creo que si seguimos en la lógica de ir parchando por aquí y parchando por allá, de ir arreglando la carga en el camino, no nos va a quedar un buen sistema. Tiene que existir un sistema penal, con los tipos penales, cuyas penas sean coherentes y proporcionadas. No puede ser que hoy el autor de un delito, por ejemplo, de “piratería”, tenga una pena similar a la que recibe quien comete un homicidio, porque entonces decimos: “Subimos al homicidio; bajamos aquí y subimos allá”. Esto no puede ser al tuntún.
Por lo anterior, deseo hacer este punto; me parece muy relevante. Sé que el ministro de Justicia y Derechos Humanos está escuchando esta sesión. Espero que pongamos la energía en una reforma al sistema penal en general, que contemple, además de los tipos penales, cómo enfrentamos la reinserción; cómo fortalecemos los servicios públicos que hoy día existen, como Gendarmería de Chile, y cómo creamos un nuevo servicio que efectivamente se encargue de preocuparse de personas que han cometido delitos, para que sean de forma efectiva reinsertados en la sociedad y, así, sean un aporte.
Existen personas que hoy están privadas de libertad que siempre han estado al margen de la sociedad. O sea, hablar de reinserción en esos casos es mucho más complejo, porque son personas que nunca han estado insertas en la sociedad. Creo que ese es el desafío que tenemos de aquí en adelante, más que unos delitos por aquí, otros delitos por allá, y vamos arreglando la carga en el camino.
Es importante que nos tomemos esto en serio ahora, cuando estamos en medio de un debate constitucional en el cual nos estamos dando las reglas del juego hacia el futuro. Es preciso que paremos un poco la creatividad con los delitos y pongamos más la cabeza en reestructurar nuestro sistema completo, a fin de precisar si vamos a tener un sistema de reinserción; si la cárcel será solo un castigo o vamos a utilizarla como un mecanismo para poder reinsertar a las personas. Creo que se trata de un debate de fondo que no se está dando en este proyecto, en circunstancias de que me parece que es lo fundamental.
He dicho.";1
"9";"21627";18;2021;8;NA;NA;"Fecha 10 de agosto, 2021. Diario de Sesión en Sesión 65. Legislatura 369. Discusión General. Se aprueba en general.
AUMENTO DE PENA APLICABLE AL DELITO DE HOMICIDIO SIMPLE Y MAYORES EXIGENCIAS PARA OBTENCIÓN DE LA LIBERTAD CONDICIONAL (PRIMER TRÁMITE CONSTITUCIONAL. BOLETINES NOS 14090-07, 14091-07, 14092-07, 14100-07 Y 14121-07) [CONTINUACIÓN]";1
"10";"21627";21;2021;8;"LONGTON";NA;"El señor LONGTON.-
Señor Presidente, estos proyectos fueron suscritos de manera transversal. Diputados de todas las tendencias políticas estuvimos de acuerdo en que había que corregir ciertos aspectos en cuanto a cómo se está otorgando la libertad condicional en nuestro país, y, también, aprovechar de corregir la proporcionalidad de la pena de un delito específico: el homicidio simple.
En nuestro país el homicidio simple tiene una pena inferior que algunos delitos contra la propiedad, incluso que algunos delitos de tráfico y de piratería, lo que resulta absurdo, considerando que el bien jurídico mayor a proteger en nuestra sociedad debe ser la vida.
Hace unas semanas aprobamos aumentar la pena asignada al homicidio simple de 10 años y un día a 15 años. En el caso del homicidio calificado, la pena aumentó de 15 años y un día a 20 años. Además, incorporamos el homicidio simple al catálogo de delitos en los cuales se requiere el cumplimiento de dos tercios de la pena antes de optar al beneficio de libertad condicional. En el caso de ese delito, el reo debía cumplir la mitad de la pena para optar al beneficio; es decir, se requería estar menos tiempo privado de libertad para acceder a la libertad condicional que otros delitos de mayor pena, pero cuyo bien jurídico a proteger era menor, como es el caso de los delitos contra la propiedad.
Señor Presidente, abordamos distintos aspectos del decreto ley N° 321, para dar mayores herramientas a los jueces antes de tomar una decisión tan importante como dejar en libertad a personas de alta peligrosidad que han cometido delitos sancionados con penas elevadas. La idea es que los jueces puedan tomar decisiones más acuciosas, más responsables, con el fin de no desproteger a la sociedad y no generar nuevas víctimas.
Señalamos que el informe psicosocial debe ser un antecedente calificado, no solamente tenerlo a disposición, como ocurrió en el caso de Ámbar, en que ni siquiera se observó ese antecedente. Además, se deben tener en consideración los beneficios intrapenitenciarios, como las salidas al medio libre que haya entregado Gendarmería .
8
Hay que recordar que esa institución entrega permisos administrativos de salida al medio libre, pero sin haber cumplido el recluso el mínimo de pena para optar al beneficio de libertad condicional. Muchas veces esas decisiones administrativas pueden traer consecuencias fatales.
Asimismo, pedimos que la decisión de otorgar beneficios intrapenitenciarios sea visada por un juez de garantía para tener mayor certeza respecto de la medida que se está otorgando y la conveniencia o no de hacerlo.
Del mismo modo, es necesario que se evalúe el hecho de optar al beneficio de libertad condicional después de un año de haber sido denegada, sobre todo si consideramos que en seis meses nadie se rehabilita.
En nuestro país, en abril y octubre se puede solicitar la libertad condicional. Los internos a los que se les niega la libertad condicional deben solicitarla luego de seis meses. Luchar para que eso no ocurra produce en sus familias un sufrimiento indescriptible.
También incorporamos a la víctima en el proceso de libertad condicional, en el sentido de que sea notificada. Hoy puede ocurrir el absurdo de que la víctima se encuentre de frente con la persona condenada, lo que puede generar un proceso de revictimización. Muchas veces, el condenado vuelve al mismo barrio. El proyecto busca que la víctima o querellante, si lo estima conveniente, pueda manifestar sus observaciones a la postulación de la libertad condicional elevada por el condenado, oponiéndose a esta, lo que deberá hacerse por escrito, porque hoy no hay contraparte. Cuando se deniega una libertad condicional, los internos van de recurso de amparo, pero nadie tiene la capacidad de oponerse, porque la víctima no solo no es notificada, sino, además, no puede participar de ninguna otra forma que a través de las fundaciones que, muchas veces, se hacen parte de estos procesos y logran grandes resultados.
Los delegados de libertad condicional que supervisarán a personas que estén con el beneficio de la libertad condicional deberán incorporar medidas tendientes a evitar la revictimización de las víctimas. Es decir, para que, en su proceso de libertad condicional, no se acerquen, no amedrenten y no violenten a las víctimas, para efectos de dar mayor seguridad a estas y al entorno respecto del proceso que se está viviendo.
Por último, en relación con los aspectos relevantes en el otorgamiento de libertad condicional, sacamos al juez de corte de apelaciones de la Comisión de Libertad Condicional y dejamos jueces de la misma jerarquía, para que no se genere temor reverencial y los jueces que la integren tengan la independencia para decidir libremente.
He dicho.";1
